Chinese_Name,Start_Year,Retired_Year,region,major_area,Retrofitted,Resource,technology,captive,cluster,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Commit,Existing_Cap_MW,num_units,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Cap_MWh,CHP,Dummy,Dummy_tech
"乌兰浩特第一热电, Ulanhot Xing'an-1 power station 华能北方联合电力兴安热电",2008,,IME,Hinggan,0,Huaneng Hinggan-1 power station Unit 1,cogen_conventional_steam_coal,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,11.31,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"乌兰浩特第一热电, Ulanhot Xing'an-1 power station 华能北方联合电力兴安热电",2008,,IME,Hinggan,0,Huaneng Hinggan-1 power station Unit 2,cogen_conventional_steam_coal,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,11.31,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国家电投白山热电 (Phase II Unit 1, Phase II Unit 2) 国家电投吉电股份浑江发电厂",1997,2021,JL,Baishan,0,Hunjiang power station Unit 1,cogen_conventional_steam_coal,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,215,1,215,1.78,117,13.7,12.18,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"Ulanhot Xing'an-2 power station, 乌兰浩特第二热电 华能北方联合电力兴安热电",2008,,IME,Hinggan,0,Huaneng Hinggan-2 power station Unit 1,cogen_conventional_steam_coal,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,11.31,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国家电投白山热电 (Phase II Unit 1, Phase II Unit 2) 国家电投吉电股份浑江发电厂",2008,,JL,Baishan,0,Hunjiang power station Unit 2,cogen_conventional_steam_coal,0,1,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"国家电投白山热电 (Phase II Unit 1, Phase II Unit 2) 国家电投吉电股份浑江发电厂",2007,,JL,Baishan,0,Hunjiang power station Unit 3,cogen_conventional_steam_coal,0,1,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 国家电投吉电股份松花江热电,2012,,JL,Jilin,0,Songhuajiang power station Unit 1,cogen_conventional_steam_coal,0,1,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"中石油吉林油田热电厂, CNPC Jilin power station 华能松原热电厂",2000,,JL,Songyuan,0,Huaneng Songyuan Cogen power station Unit 1,cogen_conventional_steam_coal,0,1,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 国家电投吉电股份松花江热电,2014,,JL,Jilin,0,Songhuajiang power station Unit 2,cogen_conventional_steam_coal,0,1,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,11.31,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 国家电投吉电股份松花江热电,2014,,JL,Jilin,0,Songhuajiang power station Unit 3,cogen_conventional_steam_coal,0,1,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40,1,40,1.78,117,13.7,11.31,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
