Chinese_Name,Start_Year,Retired_Year,region,major_area,Retrofitted,Resource,technology,Captive_industry_use,captive,cluster,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Commit,Existing_Cap_MW,num_units,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Cap_MWh,CHP,Dummy,Dummy_tech
"大唐鸡西第二热电厂 (Unit 11, Unit 12) 大唐鸡西热电厂",2011,,HL,Jixi,0,Jixi power station Unit 1,cogen_conventional_steam_coal,,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"吉林市西关热电厂 (Unit 8, Unit 9) 吉林市源源热电",2017,,JL,Jilin,0,Jilin Yuanyuan Cogen power station,cogen_conventional_steam_coal,,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,30,1,30,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"京科发电有限公司科右中热电厂扩建工程 (Phase II), 内蒙古源源能源集团京科发电公司科右中电厂 内蒙古源源能源集团京科发电厂",2010,,IME,Hinggan,0,Jingke power station,cogen_conventional_steam_coal,,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,330,1,330,1.78,117,13.7,10.44,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 内蒙古源源能源集团霍林郭勒金源口热电,2010,,IME,Tongliao,0,Jinyuankou Cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 内蒙古源源能源集团霍林郭勒金源口热电,2010,,IME,Tongliao,0,Jinyuankou Cogen power station Unit 2,cogen_conventional_steam_coal,,0,1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 大唐国际锦州热电,2009,,LN,Jinzhou,0,Jinzhou Datang power station Unit 1,cogen_conventional_steam_coal,,0,1,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 大唐国际锦州热电,2009,,LN,Jinzhou,0,Jinzhou Datang power station Unit 2,cogen_conventional_steam_coal,,0,1,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"大唐鸡西第二热电厂 (Unit 11, Unit 12) 大唐鸡西热电厂",2003,,HL,Jixi,0,Jixi power station Unit 2,cogen_conventional_steam_coal,,0,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,125,1,125,1.78,117,13.7,12.18,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"大唐鸡西第二热电厂 (Unit 11, Unit 12) 大唐鸡西热电厂",2011,,HL,Jixi,0,Jixi power station Unit 3,cogen_conventional_steam_coal,,0,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,1,300,1.78,117,13.7,10.44,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"大唐鸡西第二热电厂 (Unit 11, Unit 12) 大唐鸡西热电厂",2003,,HL,Jixi,0,Jixi power station Unit 4,cogen_conventional_steam_coal,,0,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,125,1,125,1.78,117,13.7,12.18,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
" 国能吉林白城热电厂扩建4×660MW常规＋1×660MW新一代煤电项目, 国电吉林龙华白城热电厂",2011,,JL,Baicheng,0,Longhua Baicheng power station Unit 1,cogen_conventional_steam_coal,,0,1,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,200,1,200,1.78,117,13.7,11.31,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 内蒙古源源能源集团吉源热电,2019,,IME,Tongliao,0,Jiyuan Cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,36,1,36,1.78,117,13.7,10.33,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 辽阳石化热电厂,1996,,LN,Liaoyang,0,Liaoyang Chemical power station Unit 1,cogen_conventional_steam_coal,both,1,1,13,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 辽阳石化热电厂,1996,,LN,Liaoyang,0,Liaoyang Chemical power station Unit 2,cogen_conventional_steam_coal,both,1,1,14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 辽阳石化热电厂,1996,,LN,Liaoyang,0,Liaoyang Chemical power station Unit 3,cogen_conventional_steam_coal,both,1,1,15,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 辽阳石化热电厂,1995,,LN,Liaoyang,0,Liaoyang Chemical power station Unit 4,cogen_conventional_steam_coal,both,1,1,16,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
辽阳芳烃基地热电厂 北方亚泰能源辽阳国成热电厂,2015,,LN,Liaoyang,0,Liaoyang Guocheng power station Unit 1,cogen_conventional_steam_coal,both,1,1,17,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
辽阳芳烃基地热电厂 北方亚泰能源辽阳国成热电厂,2018,,LN,Liaoyang,0,Liaoyang Guocheng power station Unit 2,cogen_conventional_steam_coal,both,1,1,18,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
