Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
3200,1,1,1,3200,1,11355.05086,9573.293503,9072.525896,30528.77894,2739.79584,2026.742642
,,,,,2,11251.44631,9437.637525,8958.600953,30103.62756,2666.76948,1926.162082
,,,,,3,11251.44631,9454.455179,8958.600953,29587.55557,2559.6162,1814.070592
,,,,,4,11251.44631,9341.571337,8958.600953,29587.55557,2502.58896,1779.704912
,,,,,5,11631.36175,9473.319235,8958.600953,29587.55557,2491.15824,1709.233642
,,,,,6,13321.33456,10116.09376,9891.221711,30293.80439,2522.34,1772.057172
,,,,,7,14393.97223,11026.36571,10478.6914,31304.76654,2648.22372,2044.662732
,,,,,8,14194.82852,10868.37115,10616.21052,31013.55204,2633.04108,2133.319502
,,,,,9,14665.13472,10786.2051,11184.17426,32172.08507,2881.66896,2379.305422
,,,,,10,14950.09601,10917.96645,11606.68439,33404.54772,3047.6088,2661.367442
,,,,,11,15692.59186,11492.1223,12529.8135,33892.81498,3133.68912,2900.639472
,,,,,12,15492.59349,11632.80187,11526.31183,33168.20361,3192.56316,2949
,,,,,13,14370.39986,11045.1409,11360.47539,32699.9109,3140.84304,2917.448772
,,,,,14,14527.65995,10767.1263,11568.54772,33315.32583,3167.24256,2923.494222
,,,,,15,14502.61629,11070.10515,11473.38351,33388.01106,3237.96528,2949
,,,,,16,14794.41799,11049.64641,11703.01219,33552.54308,3215.04552,2949
,,,,,17,16408.21863,11307.33076,11903.83828,33437.44978,3152.72088,2949
,,,,,18,15946.59096,12028.48156,11722.11593,32680.22851,3084.38928,2949
,,,,,19,14970.38865,11913.91997,11308.53216,32327.39122,2968.76988,2949
,,,,,20,15373.64349,11732.22579,11657.23079,32784.33732,2939.54184,2949
,,,,,21,14803.90323,11535.21685,11409.14825,32980.48319,2901.00204,2949
,,,,,22,13751.0863,11406.7515,10882.41858,34609.7809,2871.81288,2918.913442
,,,,,23,12676.0136,10605.07097,10124.73591,32932.93187,2747.71764,2736.625922
,,,,,24,11645.78769,10034.36903,9480.048709,31422.83159,2752.42212,2392.969122
,,,,,25,11242.73562,9557.922075,8959.782902,30366.00689,2740.41792,2031.616561
,,,,,26,11134.36416,9422.483955,8840.838424,29942.35162,2670.24924,1928.283601
,,,,,27,11134.36416,9439.274601,8840.838424,29428.55959,2567.27556,1813.125151
,,,,,28,11134.36416,9368.74747,8840.838424,29428.55959,2512.4742,1777.825621
,,,,,29,11525.6185,9458.108362,8840.838424,29428.55959,2494.06452,1716.014581
,,,,,30,13255.78691,10099.85062,9797.679676,30131.85921,2531.45736,1769.961621
,,,,,31,14353.93701,11008.66072,10398.92735,31139.26378,2652.42276,2050.028151
,,,,,32,14150.05672,10850.91989,10539.67172,30849.07407,2637.83304,2141.112931
,,,,,33,14631.54904,10768.88579,11120.95598,32003.53021,2876.76036,2393.832401
,,,,,34,14923.28807,10900.43554,11553.37529,33231.65582,3036.21696,2683.610971
,,,,,35,15683.444,11473.66932,12484.68886,33718.20486,3118.93416,2929.419951
,,,,,36,15478.68873,11614.12296,11471.11773,32996.1434,3175.51428,2949
,,,,,37,14329.80398,11027.40575,11301.39191,32529.49862,3125.81592,2946.691261
,,,,,38,14490.80446,10749.83763,11514.34419,33142.7479,3151.18512,2949
,,,,,39,14465.16515,11052.32991,11416.94808,33215.17735,3210.16608,2949
,,,,,40,14763.90729,11031.90403,11651.96226,33379.13038,3197.11212,2949
,,,,,41,16407.57199,11289.17455,11857.49835,33264.44209,3137.2272,2949
,,,,,42,15943.48442,11976.09681,11671.51405,32509.88549,3071.5686,2949
,,,,,43,14944.06336,11894.7896,11248.23046,32158.28983,2960.44956,2949
,,,,,44,15356.90952,11713.38722,11605.10716,32613.62794,2932.3782,2949
,,,,,45,14773.61812,11516.69467,11351.20631,32809.08358,2895.33528,2949
,,,,,46,13695.76019,11388.43562,10812.12319,34434.45644,2867.28336,2948.195251
,,,,,47,12595.11714,10588.04256,10036.67051,32761.69958,2748.0384,2760.923921
,,,,,48,11540.38755,10018.25714,9376.86339,31256.91336,2752.5582,2407.869641
,,,,,49,11166.66907,9549.108481,8855.056915,30372.48253,2730.48408,2044.694065
,,,,,50,11053.27202,9413.795275,8723.038429,29934.02692,2657.48688,1936.937605
,,,,,51,11053.27202,9430.570435,8723.038429,29397.68036,2550.3822,1816.864155
,,,,,52,11053.27202,9304.30439,8723.038429,29397.68036,2493.38412,1780.050805
,,,,,53,11456.4806,9449.386825,8723.038429,29397.68036,2469.92004,1721.267405
,,,,,54,13229.02597,10090.53721,9742.964996,30130.15494,2513.12544,1771.852585
,,,,,55,14354.07303,10998.50912,10380.09917,31172.75303,2638.95084,2063.882225
,,,,,56,14145.1991,10840.91377,10529.24411,30872.42559,2623.77792,2158.859685
,,,,,57,14638.48461,10758.95533,11145.22331,32067.21249,2872.29888,2422.382325
,,,,,58,14937.36919,10890.38375,11603.45231,33338.24247,3038.16096,2724.546695
,,,,,59,15716.1436,11463.08884,12556.08336,33841.78903,3124.2024,2949
,,,,,60,15506.37326,11603.41294,11516.28507,33094.50246,3183.057,2949
,,,,,61,14329.34892,11017.23686,11336.42888,32611.55551,3131.35632,2949
,,,,,62,14494.29277,10739.92474,11562.09157,33246.22857,3157.74612,2949
,,,,,63,14468.02548,11042.13803,11458.88221,33321.18834,3213.88884,2949
,,,,,64,14774.0847,11021.73099,11707.92362,33490.86903,3205.51992,2949
,,,,,65,16449.23415,11278.76423,11925.72748,33372.17413,3143.22444,2949
,,,,,66,15982.55318,12008.69353,11728.64238,32591.25721,3074.93172,2949
,,,,,67,14958.65333,11883.82073,11280.09438,32227.37861,2959.3512,2949
,,,,,68,15381.61132,11702.58565,11658.27188,32698.62389,2930.15232,2949
,,,,,69,14784.03338,11506.07451,11389.21653,32900.90773,2891.62224,2949
,,,,,70,13679.77551,11377.93376,10817.95731,34565.10724,2862.4428,2949
,,,,,71,12552.17444,10578.27889,9996.220408,32851.86839,2738.40588,2805.162525
,,,,,72,11471.61139,10009.01898,9297.031567,31294.51269,2743.10064,2437.019195
,,,,,73,11235.55896,9718.47047,8896.592584,30615.58712,2732.6322,2056.669462
,,,,,74,11121.01909,9580.756918,8762.622923,30171.71494,2658.94488,1946.219583
,,,,,75,11121.01909,9597.829655,8762.622923,29627.11394,2550.82932,1823.138153
,,,,,76,11121.01909,9503.086812,8762.622923,29627.11394,2493.28692,1785.400782
,,,,,77,11526.94605,9616.979833,8762.622923,29627.11394,2469.23964,1727.669192
,,,,,78,13309.12792,10269.5037,9791.96439,30370.26587,2513.21292,1777.005963
,,,,,79,14440.29133,11193.58229,10434.45429,31425.74398,2640.23388,2076.349123
,,,,,80,14230.28185,11033.19133,10584.85294,31121.70635,2624.91516,2173.695612
,,,,,81,14726.24912,10949.77902,11206.01004,32331.25337,2875.77864,2443.804353
,,,,,82,15026.75859,11083.53887,11668.0909,33617.98536,3043.21536,2753.527992
,,,,,83,15809.76683,11666.40328,12623.90339,34127.75262,3130.07328,2949
,,,,,84,15598.85607,11809.21662,11580.19093,33371.23425,3189.49164,2949
,,,,,85,14415.4328,11212.64225,11398.82287,32882.32109,3137.29524,2949
,,,,,86,14581.27338,10930.41084,11626.38248,33524.83475,3163.92804,2949
,,,,,87,14554.86328,11237.98515,11522.30555,33600.72054,3220.17768,2949
,,,,,88,14862.5864,11217.2161,11773.44039,33772.49744,3212.1684,2949
,,,,,89,16544.89547,11478.80891,11993.07511,33652.33621,3149.28,2949
,,,,,90,16077.62475,12195.93769,11794.33331,32861.77202,3080.33604,2949
,,,,,91,15048.15845,12094.59861,11342.01484,32493.39815,2963.66688,2949
,,,,,92,15473.41586,11910.14857,11723.37128,32970.46508,2934.18612,2949
,,,,,93,14872.58917,11710.15148,11452.05426,33175.24789,2895.28668,2949
,,,,,94,13762.32797,11579.73761,10875.99306,34853.65706,2865.8448,2949
,,,,,95,12628.59666,10765.89752,10047.34866,33125.60273,2740.62204,2836.168803
,,,,,96,11542.1591,10186.5394,9342.28246,31549.00782,2745.3654,2458.814762
,,,,,97,11293.06777,9940.361796,9119.744206,31019.49226,2738.83356,2063.544728
,,,,,98,11176.78063,9804.302067,8995.825566,30565.13029,2665.55448,1953.576518
,,,,,99,11176.78063,9821.169775,8995.825566,30004.54369,2558.04156,1831.035738
,,,,,100,11176.78063,9751.791605,8995.825566,30004.54369,2500.81992,1793.465478
,,,,,101,11586.86376,9840.089975,8995.825566,30004.54369,2485.13184,1737.719548
,,,,,102,13383.77892,10484.77759,9976.668376,30768.37348,2520.639,1785.109978
,,,,,103,14524.29365,11397.75878,10591.56949,31848.79512,2646.9504,2083.135918
,,,,,104,14312.54803,11239.29398,10735.50996,31537.57234,2631.71916,2180.059718
,,,,,105,14812.61545,11156.88338,11329.99433,32775.70392,2881.19268,2448.988858
,,,,,106,15115.60923,11289.03689,11772.23323,34092.84455,3047.69628,2757.355958
,,,,,107,15905.0906,11864.90159,12711.6573,34614.65885,3134.07792,2949
,,,,,108,15692.43624,12005.99987,11688.10773,33840.2621,3193.15608,2949
,,,,,109,14499.22961,11416.58985,11514.52769,33339.79472,3141.25128,2949
,,,,,110,14666.4412,11137.74779,11732.3158,33997.49255,3167.73828,2949
,,,,,111,14639.81277,11441.6284,11632.70797,34075.17172,3233.62044,2949
,,,,,112,14950.07983,11421.10877,11873.05898,34251.00812,3215.70648,2949
,,,,,113,16643.33527,11679.56007,12083.26249,34128.00718,3153.168,2949
,,,,,114,16175.16291,12368.65741,11893.05475,33318.76003,3084.61284,2949
,,,,,115,15137.186,12287.95466,11460.15902,32941.68058,2968.5852,2949
