HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB,
730.2613146,1557.618571,-2359.552222,5405.721111,2094.652222,2818.72,2061.793125,
730.2613146,1557.618571,-2359.552222,5405.721111,2094.652222,2743.59,1959.473125,
730.2613146,1557.618571,-2359.552222,5405.721111,2094.652222,2633.35,1845.443125,
730.2613146,1557.618571,-2359.552222,5405.721111,2094.652222,2574.68,1810.483125,
730.2613146,1557.618571,-2359.552222,5405.721111,2094.652222,2562.92,1738.793125,
812.7828647,1557.618571,-2598.627143,5708.9275,2212.14,2595,1802.703125,
848.5894761,1910.14625,-2647.5375,5708.9275,2212.14,2724.51,2080.023125,
848.5894761,1910.14625,-2647.5375,5708.9275,2212.14,2708.89,2170.213125,
848.5894761,1910.14625,-2647.5375,5747.641429,2227.141429,2964.68,2420.453125,
812.7828647,2042.083333,-2598.627143,5747.641429,2227.141429,3135.4,2707.393125,
812.7828647,2042.083333,-2598.627143,5708.9275,2212.14,3223.96,2950.803125,
730.2613146,1910.14625,-2359.552222,5405.721111,2094.652222,3284.53,3000,
730.2613146,1910.14625,-2359.552222,5405.721111,2094.652222,3231.32,2967.903125,
730.2613146,1910.14625,-2359.552222,5708.9275,2212.14,3258.48,2974.053125,
730.2613146,2042.083333,-2359.552222,5708.9275,2212.14,3331.24,3000,
812.7828647,2042.083333,-2598.627143,5708.9275,2212.14,3307.66,3000,
812.7828647,2042.083333,-2598.627143,5747.641429,2227.141429,3243.54,3000,
848.5894761,2042.083333,-2647.5375,5747.641429,2227.141429,3173.24,3000,
848.5894761,2042.083333,-2647.5375,5747.641429,2227.141429,3054.29,3000,
848.5894761,2042.083333,-2647.5375,5747.641429,2227.141429,3024.22,3000,
848.5894761,2042.083333,-2647.5375,5747.641429,2227.141429,2984.57,3000,
848.5894761,1910.14625,-2647.5375,5708.9275,2212.14,2954.54,2969.393125,
812.7828647,1910.14625,-2598.627143,5405.721111,2094.652222,2826.87,2783.953125,
812.7828647,1557.618571,-2598.627143,5405.721111,2094.652222,2831.71,2434.353125,
725.7881653,1540.777143,-2342.721111,5410.024444,2096.32,2819.36,2066.751333,
725.7881653,1540.777143,-2342.721111,5410.024444,2096.32,2747.17,1961.631333,
725.7881653,1540.777143,-2342.721111,5410.024444,2096.32,2641.23,1844.481333,
725.7881653,1540.777143,-2342.721111,5410.024444,2096.32,2584.85,1808.571333,
725.7881653,1540.777143,-2342.721111,5410.024444,2096.32,2565.91,1745.691333,
810.2136543,1540.777143,-2587.534286,5717.38125,2215.415,2604.38,1800.571333,
846.879798,1902.29875,-2638.1,5717.38125,2215.415,2728.83,2085.481333,
846.879798,1902.29875,-2638.1,5717.38125,2215.415,2713.82,2178.141333,
846.879798,1902.29875,-2638.1,5758.715714,2231.432857,2959.63,2435.231333,
810.2136543,2037.267778,-2587.534286,5758.715714,2231.432857,3123.68,2730.021333,
810.2136543,2037.267778,-2587.534286,5717.38125,2215.415,3208.78,2980.081333,
725.7881653,1902.29875,-2342.721111,5410.024444,2096.32,3266.99,3000,
725.7881653,1902.29875,-2342.721111,5410.024444,2096.32,3215.86,2997.651333,
725.7881653,1902.29875,-2342.721111,5717.38125,2215.415,3241.96,3000,
725.7881653,2037.267778,-2342.721111,5717.38125,2215.415,3302.64,3000,
