year,parameter_1,parameter_2,spearman_rho
2016,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Min_Power_0-300,-0.16521068245206175
2016,CHP_NonRetrofitted_Min_Power_300-660,MLT_Band,0.3821745201055545
2016,CHP_NonRetrofitted_Min_Power_0-300,MLT_Band,0.33044321320183384
2021,Coal_Retrofitted_Min_Power_300-660,Coal_Retrofitted_Min_Power_0-300,0.037826806442960055
2021,Coal_Retrofitted_Min_Power_300-660,Coal_Retrofitted_Time_0-300,-0.04174210055230629
2021,Coal_Retrofitted_Min_Power_300-660,CHP_NonRetrofitted_Min_Power_300-660,0.03064833556067203
2021,Coal_Retrofitted_Min_Power_300-660,CHP_NonRetrofitted_Min_Power_0-300,0.04178277283941326
2021,Coal_Retrofitted_Min_Power_300-660,MLT_Band,0.203319820987399
2021,Coal_Retrofitted_Min_Power_0-300,Coal_Retrofitted_Time_0-300,-0.010610488944563342
2021,Coal_Retrofitted_Min_Power_0-300,CHP_NonRetrofitted_Min_Power_300-660,-0.031237663441422994
2021,Coal_Retrofitted_Min_Power_0-300,CHP_NonRetrofitted_Min_Power_0-300,0.009049615679960444
2021,Coal_Retrofitted_Min_Power_0-300,MLT_Band,0.05936723967838456
2021,Coal_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_300-660,-0.08226819001631155
2021,Coal_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_0-300,0.014505694099945825
2021,Coal_Retrofitted_Time_0-300,MLT_Band,0.1092404212942774
2021,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Min_Power_0-300,0.047738620011887514
2021,CHP_NonRetrofitted_Min_Power_300-660,MLT_Band,0.08360309389750203
2021,CHP_NonRetrofitted_Min_Power_0-300,MLT_Band,0.04422480049463956
