id,parameter,lower_2016,upper_2016,lower_2021,upper_2021
P1,Coal_Retrofitted_Min_Power_660-1000,0.30000000000000004,0.75,0.30000000000000004,0.75
P2,Coal_Retrofitted_Time_660-1000,4.0,16.0,4.0,8.0
P3,Coal_Retrofitted_Min_Power_300-660,0.30000000000000004,0.75,0.30000000000000004,0.75
P4,Coal_Retrofitted_Time_300-660,4.0,16.0,4.0,8.0
P5,Coal_Retrofitted_Min_Power_0-300,0.30000000000000004,0.75,0.30000000000000004,0.75
P6,Coal_Retrofitted_Time_0-300,4.0,12.0,2.0,6.0
P7,CHP_NonRetrofitted_Min_Power_660-1000,0.30000000000000004,0.75,0.30000000000000004,0.75
P8,CHP_NonRetrofitted_Time_660-1000,4.0,16.0,4.0,16.0
P9,CHP_NonRetrofitted_Min_Power_300-660,0.30000000000000004,0.75,0.30000000000000004,0.75
P10,CHP_NonRetrofitted_Time_300-660,4.0,16.0,4.0,16.0
P11,CHP_NonRetrofitted_Min_Power_0-300,0.30000000000000004,0.75,0.30000000000000004,0.75
P12,CHP_NonRetrofitted_Time_0-300,4.0,12.0,4.0,12.0
P13,MLT_Band,0.05,0.4,0.05,0.4
