year,role,gp_loss,uced_loss,residual,coal,wind,solar,mlt,CHP_NonRetrofitted_Time_300-660,MLT_Band,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_0-300,CHP_Retrofitted_Min_Power_300-660,CHP_Retrofitted_Time_300-660,CHP_NonRetrofitted_Time_0-300,CHP_Retrofitted_Time_0-300,CHP_Retrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_Retrofitted_Min_Power_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_Retrofitted_Time_660-1000
2016,interior_1,0.01095494690949209,0.01075354299774111,-0.00020140391175097958,0.0832284610112162,0.127453370149773,0.11925364492793558,0.0749760086796818,10.0,0.064,10.0,0.689,0.525,10.0,8.0,8.0,0.525,0.705,0.525,0.525,10.0
2016,interior_2,0.011147682044101586,0.010922435246112302,-0.00022524679798928415,0.08379985751615875,0.1274094881531277,0.11902675306194585,0.07916299166156669,10.0,0.074,10.0,0.68,0.525,10.0,8.0,8.0,0.525,0.734,0.525,0.525,10.0
2016,interior_3,0.011286262782002749,0.01115053098902814,-0.00013573179297460963,0.08439481119366066,0.13043283353920815,0.12205491789614746,0.07462916823867762,10.0,0.062,10.0,0.582,0.525,10.0,8.0,8.0,0.525,0.71,0.525,0.525,10.0
2016,interior_4,0.011441991455363367,0.011189042286825917,-0.0002529491685374502,0.08377461074808792,0.1321353908313233,0.12312314518858425,0.07154658167959013,10.0,0.054,10.0,0.531,0.525,10.0,8.0,8.0,0.525,0.633,0.525,0.525,10.0
2016,medoid,0.011200532383989475,0.01108836531537171,-0.00011216706861776407,0.08397395532497162,0.12968936457447855,0.12143475992830105,0.07573707075131961,10.0,0.065,10.0,0.653,0.525,10.0,8.0,8.0,0.525,0.678,0.525,0.525,10.0
2016,surrogate_best,0.010422705287368238,0.01008745879333652,-0.0003352464940317174,0.08158816763099738,0.12423021258392225,0.11673618819362308,0.06806410745274527,10.0,0.053,10.0,0.722,0.525,10.0,8.0,8.0,0.525,0.748,0.525,0.525,10.0
2021,interior_1,0.007701727313459752,0.007371104839615279,-0.00033062247384447324,0.12300716586864593,0.08289070797109785,0.03599213549311199,0.07865973060035347,10.0,0.098,10.0,0.424,0.625,6.0,8.0,3.015,0.525,0.632,0.647,0.525,6.0
2021,interior_2,0.007335428167959882,0.007167753677423993,-0.0001676744905358893,0.1241120896886823,0.08298986547409434,0.03617400176207399,0.07121325528238152,10.0,0.064,10.0,0.733,0.712,6.0,8.0,4.032,0.525,0.489,0.515,0.525,6.0
2021,interior_3,0.00776663697649666,0.007308632860905213,-0.0004580041155914467,0.12289581005628049,0.08293405191151285,0.03621045140877578,0.07708370487037232,10.0,0.088,10.0,0.389,0.454,6.0,8.0,2.966,0.525,0.655,0.712,0.525,6.0
2021,interior_4,0.007683753875062835,0.007624333530400652,-5.9420344662183475e-05,0.1254833854767471,0.08298370850012134,0.035018317789115246,0.08147806842141098,10.0,0.117,10.0,0.74,0.579,6.0,8.0,3.779,0.525,0.749,0.722,0.525,6.0
2021,medoid,0.007502643383689394,0.007160744023868366,-0.00034189935982102855,0.12323299751832101,0.08282496964255945,0.036188595832652076,0.07271185841039285,10.0,0.073,10.0,0.53,0.602,6.0,8.0,3.874,0.525,0.567,0.509,0.525,6.0
2021,surrogate_best,0.007107037752184144,0.007065172553512866,-4.186519867127765e-05,0.12331314507952301,0.08291918806589098,0.036397433079366326,0.06967204303287244,10.0,0.059,10.0,0.408,0.674,6.0,8.0,2.095,0.525,0.715,0.322,0.525,6.0
