Parameter,OuterDropVotes,OuterFolds,BaselineRemoved
Coal_Retrofitted_Min_Power_660-1000,5,5,true
Coal_Retrofitted_Time_660-1000,5,5,true
Coal_Retrofitted_Min_Power_300-660,5,5,true
Coal_Retrofitted_Time_300-660,5,5,true
Coal_Retrofitted_Min_Power_0-300,5,5,true
Coal_Retrofitted_Time_0-300,5,5,true
CHP_NonRetrofitted_Min_Power_660-1000,5,5,true
CHP_NonRetrofitted_Time_660-1000,5,5,true
CHP_NonRetrofitted_Min_Power_300-660,0,5,false
CHP_NonRetrofitted_Time_300-660,5,5,true
CHP_NonRetrofitted_Min_Power_0-300,0,5,false
CHP_NonRetrofitted_Time_0-300,5,5,true
MLT_Band,0,5,false
