run_id,Coal_Retrofitted_Min_Power_660-1000,Coal_Retrofitted_Time_660-1000,Coal_Retrofitted_Min_Power_300-660,Coal_Retrofitted_Time_300-660,Coal_Retrofitted_Min_Power_0-300,Coal_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Time_300-660,CHP_NonRetrofitted_Min_Power_0-300,CHP_NonRetrofitted_Time_0-300,MLT_Band,Description,Classification
1,0.576,6.564,0.688,5.991,0.659,3.885,0.318,6.661,0.418,13.304,0.483,6.938,0.084,"High_MP, Low_Time, Tight_MLT",Partially More Flexible
2,0.554,4.86,0.473,7.32,0.436,4.815,0.539,4.214,0.56,9.566,0.403,4.157,0.258,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
3,0.541,7.763,0.369,4.499,0.406,5.87,0.633,11.657,0.639,4.576,0.514,6.24,0.261,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
4,0.722,4.189,0.71,6.62,0.35,3.334,0.742,9.149,0.32,6.579,0.742,11.891,0.272,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
5,0.705,5.904,0.33,6.714,0.427,3.385,0.543,14.609,0.522,10.283,0.729,9.348,0.153,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
6,0.573,4.784,0.642,5.161,0.502,2.733,0.555,6.535,0.527,6.144,0.598,11.684,0.075,"High_MP, Low_Time, Tight_MLT",Partially More Flexible
7,0.707,4.754,0.677,6.883,0.64,3.473,0.418,5.603,0.315,11.515,0.712,4.621,0.113,"High_MP, Low_Time, Tight_MLT",Partially More Flexible
8,0.373,6.541,0.415,5.227,0.643,5.999,0.591,13.716,0.448,6.884,0.324,5.006,0.276,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
9,0.67,7.026,0.338,6.053,0.586,4.259,0.675,4.371,0.668,9.408,0.363,6.02,0.341,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
10,0.353,6.743,0.692,4.679,0.527,2.128,0.518,15.913,0.371,14.896,0.568,6.466,0.297,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
11,0.746,7.417,0.433,4.869,0.431,2.822,0.458,7.418,0.586,6.772,0.369,8.514,0.255,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
12,0.323,7.384,0.678,4.197,0.541,5.059,0.624,7.81,0.742,5.239,0.45,4.03,0.197,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
13,0.483,4.224,0.412,4.958,0.416,4.763,0.31,8.187,0.684,12.342,0.702,7.387,0.101,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
14,0.656,6.221,0.648,5.775,0.551,5.638,0.649,9.788,0.463,13.872,0.709,7.447,0.397,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
15,0.305,6.699,0.539,5.518,0.718,5.679,0.524,4.33,0.38,14.732,0.687,7.073,0.214,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
16,0.607,4.359,0.668,7.242,0.694,3.408,0.477,14.247,0.551,4.771,0.615,9.936,0.393,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
17,0.409,5.598,0.609,5.667,0.709,4.455,0.616,11.762,0.386,11.824,0.637,9.059,0.148,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
18,0.371,5.857,0.644,7.376,0.727,5.774,0.504,10.621,0.427,7.321,0.517,7.211,0.306,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
19,0.56,7.999,0.72,5.751,0.747,2.922,0.609,6.37,0.437,13.641,0.723,11.33,0.295,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
20,0.315,6.367,0.361,4.545,0.743,5.191,0.731,5.88,0.374,15.87,0.504,11.554,0.059,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
