role,draw,CHP_Retrofitted_Min_Power_660-1000,CHP_Retrofitted_Time_660-1000,CHP_Retrofitted_Min_Power_300-660,CHP_Retrofitted_Time_300-660,CHP_Retrofitted_Min_Power_0-300,CHP_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Time_300-660,CHP_NonRetrofitted_Min_Power_0-300,CHP_NonRetrofitted_Time_0-300,MLT_Band,predicted_loss,predicted_loss_lo95_lat,predicted_loss_hi95_lat,sigma_latent_std,sigma_predictive_std,in_S_eps
surrogate_best,1,0.525,6.0,0.674,6.0,0.322,2.095,0.525,10.0,0.715,10.0,0.408,8.0,0.059,0.00710584661017041,0.006740794849262694,0.007470898371078125,0.10062146593491587,0.10062643493084437,true
medoid,1,0.525,6.0,0.602,6.0,0.509,3.874,0.525,10.0,0.567,10.0,0.53,8.0,0.073,0.007504019168762731,0.007232405254286253,0.007775633083239209,0.0748666166545436,0.0748732949007749,true
interior_1,1,0.525,6.0,0.625,6.0,0.647,3.015,0.525,10.0,0.632,10.0,0.424,8.0,0.098,0.007698062888330731,0.007390986412694955,0.008005139363966508,0.08464138087094537,0.0846472879408458,true
interior_2,1,0.525,6.0,0.712,6.0,0.515,4.032,0.525,10.0,0.489,10.0,0.733,8.0,0.064,0.007337762198076207,0.006884190674812839,0.007791333721339574,0.1250207134013258,0.12502471267464071,true
interior_3,1,0.525,6.0,0.454,6.0,0.712,2.966,0.525,10.0,0.655,10.0,0.389,8.0,0.088,0.007769696622071798,0.007385249268081274,0.008154143976062322,0.10596759275215559,0.1059723110708015,true
interior_4,1,0.525,6.0,0.579,6.0,0.722,3.779,0.525,10.0,0.749,10.0,0.74,8.0,0.117,0.007682242240132116,0.0071785631853890555,0.008185921294875177,0.1388321610144802,0.1388357624387556,true
axis_min_CHP_Retrofitted_Min_Power_300-660,1,0.525,6.0,0.3,6.0,0.635,4.3,0.525,10.0,0.457,10.0,0.605,8.0,0.081,0.0075957573285629874,0.007292126136303023,0.007899388520822951,0.08369173618775472,0.08369771028003546,true
axis_max_CHP_Retrofitted_Min_Power_300-660,1,0.525,6.0,0.75,6.0,0.439,5.062,0.525,10.0,0.494,10.0,0.678,8.0,0.051,0.007273481665399853,0.006720858324371633,0.007826105006428071,0.15232297618793675,0.15232625865145763,true
axis_min_CHP_Retrofitted_Min_Power_0-300,1,0.525,6.0,0.617,6.0,0.3,5.007,0.525,10.0,0.661,10.0,0.636,8.0,0.062,0.007423756856800197,0.006999817458189087,0.007847696255411308,0.11685302832055167,0.11685730712147903,true
axis_max_CHP_Retrofitted_Min_Power_0-300,1,0.525,6.0,0.522,6.0,0.75,5.303,0.525,10.0,0.613,10.0,0.73,8.0,0.067,0.007507621524140631,0.007045353054186196,0.007969889994095066,0.12741790639948347,0.1274218304343002,true
axis_min_CHP_Retrofitted_Time_0-300,1,0.525,6.0,0.516,6.0,0.439,2.001,0.525,10.0,0.436,10.0,0.309,8.0,0.054,0.007544189007317756,0.0071178592002317295,0.007970518814403783,0.11751191133574727,0.11751616614653726,true
axis_max_CHP_Retrofitted_Time_0-300,1,0.525,6.0,0.391,6.0,0.616,5.997,0.525,10.0,0.395,10.0,0.564,8.0,0.1,0.007631106917706076,0.007334727488468864,0.007927486346943288,0.08169288806783996,0.08169900832240652,true
axis_min_CHP_NonRetrofitted_Min_Power_300-660,1,0.525,6.0,0.721,6.0,0.734,5.867,0.525,10.0,0.301,10.0,0.714,8.0,0.08,0.007662856120551623,0.007145823145101588,0.008179889096001659,0.14251298445215752,0.1425164928612156,true
axis_max_CHP_NonRetrofitted_Min_Power_300-660,1,0.525,6.0,0.644,6.0,0.534,2.936,0.525,10.0,0.75,10.0,0.366,8.0,0.13,0.007728187672003116,0.007375660228050758,0.008080715115955475,0.09716931129046778,0.09717445681177668,true
axis_min_CHP_NonRetrofitted_Min_Power_0-300,1,0.525,6.0,0.534,6.0,0.342,3.027,0.525,10.0,0.502,10.0,0.3,8.0,0.075,0.00769181054722828,0.007433280442933838,0.007950340651522723,0.07126024544500073,0.07126726163451047,true
axis_max_CHP_NonRetrofitted_Min_Power_0-300,1,0.525,6.0,0.648,6.0,0.524,5.795,0.525,10.0,0.513,10.0,0.75,8.0,0.093,0.0074657487487013105,0.007100304227683462,0.007831193269719157,0.10072972482385804,0.10073468847964034,true
axis_min_MLT_Band,1,0.525,6.0,0.661,6.0,0.333,5.703,0.525,10.0,0.599,10.0,0.516,8.0,0.05,0.007345747402319875,0.006867597397942949,0.007823897406696801,0.13179543157814125,0.13179922528174637,true
axis_max_MLT_Band,1,0.525,6.0,0.741,6.0,0.716,2.124,0.525,10.0,0.737,10.0,0.731,8.0,0.167,0.007733404981622711,0.007185483224500092,0.008281326738745333,0.15102704964968097,0.1510303602786116,true
